"Observation.ID","Observation.Date","Year","Sex","ObsAge","z.Age","ALS","z.ALS","Repro.Stat","Associates","anon_id"
1048,"1989-06-05",1989,"MALE",8617,0.571372963599121,14631,0.998983869474257,"Not Calf",5,"ID0749"
1048,"1989-06-05",1989,"MALE",6060,-0.0817023510861621,15364,1.18777870464006,"Not Calf",5,"ID1420"
1049,"1989-06-05",1989,"FEMALE",6791,0.105000056045219,11288,0.137945487537974,"Not Calf",4,"ID1734"
1054,"1989-06-11",1989,"MALE",9354,0.759607811828708,15217,1.14991671177598,"Not Calf",5,"ID0318"
1057,"1989-06-11",1989,"MALE",3875,-0.639766317682698,17040,1.61945693620609,"Not Calf",0,"ID0385"
1059,"1989-06-11",1989,"FEMALE",3875,-0.639766317682698,10494,-0.0665607868435417,"Not Calf",3,"ID0858"
1059,"1989-06-11",1989,"FEMALE",4575,-0.460981522892046,15283,1.16691597387822,"Not Calf",3,"ID1368"
1059,"1989-06-11",1989,"FEMALE",1683,-1.19961813222714,3608,-1.84015046617745,"Calf",3,"ID1614"
1060,"1989-06-11",1989,"MALE",248,-1.56612696154798,13390,0.679346229036648,"Calf",2,"ID0324"
1060,"1989-06-11",1989,"FEMALE",10449,1.03927831225123,11362,0.15700526625867,"Not Calf",2,"ID0344"
1061,"1989-06-12",1989,"FEMALE",954,-1.38580972565912,14141,0.872777226593976,"Calf",1,"ID0402"
1061,"1989-06-12",1989,"FEMALE",8624,0.573160811547027,11664,0.234789768605292,"Not Calf",1,"ID0721"
1064,"1989-06-12",1989,"MALE",7528,0.293234904274806,11913,0.298923348354659,"Not Calf",3,"ID1607"
1064,"1989-06-12",1989,"FEMALE",3511,-0.732734410973838,14225,0.894412651087739,"Not Calf",3,"ID1638"
1064,"1989-06-12",1989,"MALE",6067,-0.0799145031382556,7950,-0.721805071511775,"Not Calf",3,"ID1837"
1066,"1989-06-12",1989,"FEMALE",1319,-1.29258622551828,7086,-0.944340866304759,"Calf",15,"ID0082"
1066,"1989-06-12",1989,"MALE",954,-1.38580972565912,12084,0.342966891074104,"Calf",15,"ID0258"
1066,"1989-06-12",1989,"FEMALE",5337,-0.266361503419936,15331,1.17927907358894,"Not Calf",15,"ID0486"
1066,"1989-06-12",1989,"FEMALE",3511,-0.732734410973838,14178,0.882307115954324,"Not Calf",15,"ID0844"
1066,"1989-06-12",1989,"FEMALE",4972,-0.359585003560776,10948,0.050373531253698,"Not Calf",15,"ID1179"
1066,"1989-06-12",1989,"MALE",3145,-0.826213317964379,12081,0.342194197342184,"Not Calf",15,"ID1187"
1066,"1989-06-12",1989,"FEMALE",5337,-0.266361503419936,14273,0.90677575079846,"Not Calf",15,"ID1191"
1066,"1989-06-12",1989,"FEMALE",3511,-0.732734410973838,11561,0.208260617142702,"Not Calf",15,"ID1558"
1069,"1989-06-15",1989,"FEMALE",10453,1.04029993965003,12686,0.498020766612735,"Not Calf",1,"ID0772"
1069,"1989-06-15",1989,"FEMALE",3460,-0.745760160308585,11304,0.142066520774882,"Not Calf",1,"ID0884"
1070,"1989-06-15",1989,"MALE",3879,-0.638744690283895,14826,1.04920896204906,"Not Calf",4,"ID0601"
